X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_8,Field_9,Field_6,Field_7,Field_4,Field_5,Field_2,Field_3,Field_1
103.900750126977,1.31784643130184,Kampong Ubi CC,Community Centre,10,,409075,Jalan Ubi,A,,https://www.onepa.sg/cc/kampong-ubi-cc,0,0,,,,DC9F1FCBF93425D1,20190624164320,,,,,,,,,,,,,,,,
103.884748931359,1.30059117423726,Katong CC,Community Centre,51,,438178,Kampong Arang Road,A,,https://www.onepa.sg/cc/katong-cc,0,0,,,,FEF3356946C7F14D,20190624164320,,,,,,,,,,,,,,,,
103.744923812722,1.38406515926541,Keat Hong CC,Community Club,2,,689687,Choa Chu Kang Loop,A,,https://www.onepa.sg/cc/keat-hong-cc,0,0,,,1,238C3F29E68E0E8E,20190624164320,1,,,,,,,,,,,,,,,
103.77055880601,1.37645074924612,Bukit Panjang CC,Community Club,8,,678295,Pending Road,A,,https://www.onepa.sg/cc/bukit-panjang-cc,0,0,,,,68DCE010D57E45D6,20190624164320,,,,,,,,,,,,,,,,
103.771609614654,1.34050085979547,Bukit Timah CC,Community Club,20,,596569,Toh Yi Drive,A,,https://www.onepa.sg/cc/bukit-timah-cc,0,0,,,,443EC19B6B3EE2CD,20190624164320,,,,,,,,,,,,,,,,
103.792547493969,1.30918210561682,Buona Vista CC,Community Club,36,,270036,Holland Drive,A,,https://www.onepa.sg/cc/buona-vista-cc,0,0,,,1,0F94EDBF0D4385F9,20190624164320,1,,,,,,,,,,,,,,,
103.838882714388,1.31038767017859,Cairnhill CC,Community Club,1,,229944,Anthony Road,A,,https://www.onepa.sg/cc/cairnhill-cc,0,0,,,,4AA7BC731FB44A68,20190624164320,,,,,,,,,,,,,,,,
103.819473739147,1.44504412683036,Canberra CC,Community Club,2,,757632,Sembawang Crescent,A,,https://www.onepa.sg/cc/canberra-cc,0,0,,,,E83B5D1A727B5F15,20190624164320,,,,,,,,,,,,,,,,
103.955110948119,1.34493553057398,Changi Simei CC,Community Club,10,,529915,Simei Street 2,A,,https://www.onepa.sg/cc/changi-simei-cc,0,0,,,,1AB4A5D9B2BFF171,20190624164320,,,,,,,,,,,,,,,,
103.849569976256,1.37178044674321,Cheng San CC,Community Club,6,,569205,Ang Mo Kio Street 53,A,,https://www.onepa.sg/cc/cheng-san-cc,0,0,,,,39458CBA393A8A77,20190624164320,,,,,,,,,,,,,,,,
103.829234874916,1.43083237048447,Chong Pang CC,Community Club,21,,768677,Yishun Ring Road,A,,https://www.onepa.sg/cc/chong-pang-cc,0,0,,,,60A8EEFF2449850E,20190624164320,,,,,,,,,,,,,,,,
103.751903886481,1.38115529003064,Chua Chu Kang CC,Community Club,35,,688892,Teck Whye Avenue,A,,https://www.onepa.sg/cc/chua-chu-kang-cc,0,0,,,,48BFE5445F81622C,20190624164320,,,,,,,,,,,,,,,,
103.882894179307,1.37514897825787,Ci Yuan CC,Community Club,51,,538776,Hougang Avenue 9,A,,https://www.onepa.sg/cc/ci-yuan-cc,0,0,,,1,765242D9268C75C8,20190624164320,1,,,,,,,,,,,,,,,
103.768153686645,1.31881518814763,Clementi CC,Community Centre,220,,129880,Clementi Avenue 4,A,,https://www.onepa.sg/cc/clementi-cc,0,0,,,,94D669DC01D62EFB,20190624164320,,,,,,,,,,,,,,,,
103.783271666717,1.302529944662,Dover CC,Community Centre,1,,130001,Dover Road,A,,https://www.onepa.sg/cc/dover-cc,0,0,,,1,BF90A6261F75789D,20190624164320,300,,,,,,,,,,,,,,,
103.91514355252,1.33255277788544,Eunos CC,Community Club,180,,479220,Bedok Reservoir Road,A,,https://www.onepa.sg/cc/eunos-cc,0,0,,,,E824C5B54804D0AA,20190624164320,,,,,,,,,,,,,,,,
103.936613618799,1.33070761805554,Fengshan CC (U/C),Community Club,20,,469644,Bedok North Street 2,A,,https://www.onepa.sg/cc/fengshan-cc,0,0,,,,29B402AC74DCC80A,20190624164320,,,,,,,,,,,,,,,,
103.939995692517,1.33049879236922,Fengshan CC (Till 3Q 2020),Community Club,187B,52,462187,Bedok North Street 4,A,,https://www.onepa.sg/cc/fengshan-cc,0,0,,,,2E0C7575E249FB4D,20190624164320,1,,,,,,,,,,,,,,,
103.771520846382,1.3868068291971,Zhenghua CC,Community Club,1,,677738,Segar Road,A,,https://www.onepa.sg/cc/zhenghua-cc,0,0,,,,EF0DB118ADF02E75,20190624164320,,,,,,,,,,,,,,,,
103.774811855067,1.42952981919595,Fuchun CC,Community Club,1,,738581,Woodlands Street 31,A,,https://www.onepa.sg/cc/fuchun-cc,0,0,,,1,9AC8A3383AC84DDA,20190603112619,2,,,,,,,,,,,,,,,
103.851373846882,1.31305864843728,Pek Kio CC,Community Centre,21,,219458,Gloucester Road,A,,https://www.onepa.sg/cc/pek-kio-cc,0,0,,,1,E185B3EFD21DDA09,20190603112619,1,,,,,,,,,,,,,,,
103.773615184767,1.44065677654285,Marsiling CC,Community Club,100,,739980,Admiralty Road,A,,https://www.onepa.sg/cc/marsiling-cc,0,0,,,,27CDFAB90F5763DD,20190624164320,,,,,,,,,,,,,,,,
103.884678208212,1.31004799754599,Mountbatten CC (Till further notice),Community Club,54,,390054,Cassia Crescent,A,,https://www.onepa.sg/cc/mountbatten-cc,0,0,,,1,3A53FEBDD07B2AA0,20190624164320,137,,,,,,,,,,,,,,,
103.886948103421,1.31008169425085,Mountbatten CC (U/C),Community Club,35,,399479,Jalan Satu,A,,https://www.onepa.sg/cc/mountbatten-cc,0,0,,,,9A25173772F072EE,20190624164320,,,,,,,,,,,,,,,,
103.692320231917,1.3423640283979,Nanyang CC,Community Club,60,,649040,Jurong West Street 91,A,,https://www.onepa.sg/cc/nanyang-cc,0,0,,,,B6F5488A70D3D55B,20190624164320,,,,,,,,,,,,,,,,
103.836142034231,1.4279999555829,Nee Soon Central CC,Community Centre,1,,768019,Northpoint Drive,A,,https://www.onepa.sg/cc/nee-soon-central-cc,0,0,,,1,025D13A7392B1D09,20190624164320,201,,,,,,,,,,,,,,,
103.838488083545,1.43102087212489,Nee Soon East CC,Community Club,1,,768893,Yishun Avenue 9,A,,https://www.onepa.sg/cc/nee-soon-east-cc,0,0,,,,AC342EBBFB4D2228,20190624164320,,,,,,,,,,,,,,,,
103.834693130803,1.4151749664221,Nee Soon South CC,Community Club,30,,768455,Yishun Street 81,A,,https://www.onepa.sg/cc/nee-soon-south-cc,0,0,,,,82894824BE63E4A5,20190624164320,,,,,,,,,,,,,,,,
103.847288237219,1.41960681953195,Nee Soon Spring CC,Community Centre,431A,,761431,Yishun Avenue 1,A,,https://www.onepa.sg/cc/nee-soon-spring-cc,0,0,,,1,96265A008B5F38A9,20190624164320,507,,,,,,,,,,,,,,,
103.959198004761,1.3685870294423,Pasir Ris East CC,Community Club,1,,519457,Pasir Ris Drive 4,A,,https://www.onepa.sg/cc/pasir-ris-east-cc,0,0,,,1,7A4676FAA0D6522A,20190624164320,8,,,,,,,,,,,,,,,
103.942476405496,1.37842943699246,Pasir Ris Elias CC,Community Club,93,,519498,Pasir Ris Drive 3,A,,https://www.onepa.sg/cc/pasir-ris-elias-cc,0,0,,,,E33897E81ADD7BB4,20190624164320,,,,,,,,,,,,,,,,
103.886092082636,1.35779860505296,Paya Lebar Kovan CC,Community Club,207,,530207,Hougang Street 21,A,,https://www.onepa.sg/cc/paya-lebar-kovan-cc,0,0,,,,A9D41AFCEBC6D785,20190624164320,,,,,,,,,,,,,,,,
103.86703683934,1.33253591154285,Potong Pasir CC,Community Club,6,,358361,Potong Pasir Avenue 2,A,,https://www.onepa.sg/cc/potong-pasir-cc,0,0,,,,CACBDF199E1794E9,20190624164320,,,,,,,,,,,,,,,,
103.913464113125,1.39360624159956,Punggol 21 CC,Community Club,80,,828815,Punggol Field,A,,https://www.onepa.sg/cc/punggol-21-cc,0,0,,,1,276AC22B3220ED32,20190624164320,1,,,,,,,,,,,,,,,
103.891815328408,1.3743788214828,Punggol CC,Community Club,3,,538808,Hougang Avenue 6,A,,https://www.onepa.sg/cc/punggol-cc,0,0,,,,8A19CBF432004F7B,20190624164320,,,,,,,,,,,,,,,,
103.896252886146,1.37773444443111,Punggol Park CC,Community Centre,458,,530458,Hougang Avenue 10,A,,https://www.onepa.sg/cc/punggol-park-cc,0,0,,,1,D9AF7CAF20D8E706,20190624164320,405,,,,,,,,,,,,,,,
103.907288602075,1.40328429076968,Punggol Vista CC,Community Centre,602,,820602,Punggol Central,A,,https://www.onepa.sg/cc/punggol-vista-cc,0,0,,,1,2B5C6C93CB6CF458,20190624164320,2,,,,,,,,,,,,,,,
103.89566486383,1.40451590068484,Punggol West CC,Community Centre,259C,,823259,Punggol Field,A,,,0,0,,,1,2E8A2B0DBB5BD044,20190624164320,47,,,,,,,,,,,,,,,
103.80130510766,1.29915022797049,Queenstown CC,Community Centre,365,,149732,Commonwealth Avenue,A,,https://www.onepa.sg/cc/queenstown-cc,0,0,,,,B647988A6B0900B0,20190624164320,,,,,,,,,,,,,,,,
