X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSFLOORNUMBER,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.871861623795,1.35067551423917,CS Montessori Kindergarten @ Serangoon,Kindergartens,,,,556083,Nex 23 Serangoon Central #04-77,,,,0,0,,,9C08ADA0112B65B4,20170807175647,
103.827180360704,1.2883008012921,CS Montessori Kindergarten @ Tiong Bahru,Kindergartens,,,,160036,36 Beo Crescent #01-31 The Beo Crescent,,,,0,0,,,AC312CE89C73277C,20170807175647,
103.898939411743,1.4149018704995,Dayspring Kindergarten,Kindergartens,,,,828670,Marina Country Club 11 Northshore Drive,,,,0,0,,,66534411E6822BA8,20170807175647,
103.898939411743,1.4149018704995,Dayspring Kindergarten @ Marina Country Club,Kindergartens,,,,828670,Marina Country Club 11 Northshore Drive #02-01,,,,0,0,,,66534411AE97125B,20170807175647,
103.890186075752,1.33249633254436,Divinity Kindergarten,Kindergartens,,,,408729,Oxley Bizhub 65 Ubi Road 1 #01-56 to 59,,,,0,0,,,398D185DCAF797EA,20170807175647,
103.903338648384,1.30438467004432,Dreamkids Kindergarten @ East Gate Pte Ltd,Kindergartens,,,,428766,Eastgate 46 East Coast Road #01-03,,,,0,0,,,D6386C12046A6494,20170807175647,
103.766715024824,1.32578168567282,Early Years Montessori,Kindergartens,,,,597475,16 Sunset Drive,,,,0,0,,,96043224946EBCEB,20170807175647,
103.697497312717,1.34435137286466,Elite Learning Kindergarten Pte Ltd,Kindergartens,,,,640720,720 Jurong West Avenue 5 #B1-94,,,,0,0,,,DE910E21BCD7808C,20170807175647,
103.913507766238,1.39161691413212,Eshkol Valley @ Gospel Light,Kindergartens,,,,828753,39 Punggol Field Walk #05-02,,,,0,0,,,72CC8884758B4A89,20170807175647,
103.701169377996,1.34615520005826,Evelyn's Schoolhouse,Kindergartens,,,,640735,735 Jurong West St 75 #01-19,,,,0,0,,,573BA47C1C933E79,20170807175647,
103.827449412797,1.42615725686001,First Step Montessori House,Kindergartens,,,,760716,716 Yishun Street 71 #01-268,,,,0,0,,,50FA864CB5546865,20170807175647,
103.816385918457,1.29430567842013,Grace House @ Tanglin,Kindergartens,,,,247960,355 Tanglin Road,,,,0,0,,,BFE01309DF289E25,20170807175647,
103.747427346703,1.36467948894382,Grace House Kindergarten,Kindergartens,,,,659125,1 Bukit Batok West Avenue 4 #04-01,,,,0,0,,,249F2BFB6CDD380F,20170807175647,
103.824478755159,1.30058938220351,Gracefields Kindergarten,Kindergartens,,,,248668,1 One Tree Hill  S(248668),,,,0,0,,,10545A5F5338AB33,20170807175647,
103.843463185078,1.31733464253519,GUG The Kindergarten,Kindergartens,,,,307591,101 Thomson Road #01-20/27,,,,0,0,,,65E2947EFEA276A2,20170807175647,
103.747115985815,1.39038150245775,Hanis Montessori Kindergarten (Choa Chu Kang),Kindergartens,,,,680707,707 Choa Chu Kang Street 53 #01-118,,,,0,0,,,EA74C8185B3FDFA5,20170807175647,
103.90261636278,1.33274846910928,Hanis Montessori Kindergarten (Enterprise One),Kindergartens,,,,415934,Enterprise One 1 Kakit Bukit Road #01-10,,,,0,0,,,46DEF2A3D2C05187,20170807175647,
103.878547948704,1.35497684262148,Hanis Montessori Kindergarten (Kovan),Kindergartens,,,,534645,777 Upper Serangoon Road #01-01,,,,0,0,,,1976814D77069BD1,20170807175647,
103.937049592237,1.37406386717002,Hanis Montessori Kindergarten (Pasir Ris),Kindergartens,,,,510775,775 Pasir Ris Street 71 #01-402,,,,0,0,,,8A6A18A57E129B53,20170807175647,
